fewsid;Code;Omschrijving;EN;Groep;bio_wf_mafy;bio_wf_mafa;bio_wf_fyto;bio_wf_vis
1;MACFT;Macrofyten;Macrophytes;Taxontype;1;;;
2;MACEV;Macroinvertebraten;Macroinvertebrates;Taxontype;;1;;
3;NEMTD;Nematoden;Nematodes;Taxontype;;;;
4;VISSN;Vissen;Fish;Taxontype;;;;1
5;DIATM;Diatomeeën;Diatoms;Taxontype;;;1;
6;FYTPT;Fytoplankton;Phytoplankton;Taxontype;;;1;
7;ZOOPT;Zooplankton;Zooplankton;Taxontype;;;;
8;VOGLS;Vogels;Birds;Taxontype;;;;
9;VLIND;Vlinders;Butterflies;Taxontype;;;;
10;AMFBE;Amfibieën;Amphibia;Taxontype;;;;
11;REPTL;Reptielen;Reptiles;Taxontype;;;;
12;MACAG;Macroalgen;Macroalgae;Taxontype;1;;1;
13;ZOOGD;Zoogdieren;Mammals;Taxontype;;;;
14;VOGL;Vogels;;Taxontype;;;;
15;BIOTG;Groeivorm;;Taxontype;1;;;
16;FYSIO;Opnamekenmerk;;Taxontype;1;;;
17;NVT;Opnamekenmerk;;Taxontype;1;;;
